sample	hap	IGK	TCRG	TCRB	TCRAD	IGH	IGL
NA20847	hap2	1417546	429615	619027	1110124	171077	1174034
NA20847	hap1	678383	452480	659597	1111823	171099	1166113
HG02666	hap2	1224341	403729	639049	1112291	891345	1173986
HG02666	hap1	1162620	443979	659321	1110579	1283304	1182136
HG03065	hap2	1328397	453844	681534	1110631	884201	1176386
HG03065	hap1	1360674	413509	681269	1099847	1340806	1036220
HG01352	hap2	1269557	452782	659655	1110124	984478	1190929
HG01352	hap1	1244448	452810	658642	1112640	1238366	1183450
HG00358	hap2	1277276	444027	658242	1113219		1189186
HG00358	hap1	146326	453135	639608	1110392	1140360	1180021
HG02769	hap2	1212103	416468	659751	1128298	990044	1171662
HG02769	hap1	1437200	446564	659812	1110925	1149708	1184691
NA19240	hap1	1348003	415845	659875	1113078	1281060	1183352
NA19240	hap2	1330271	420091	659834	1129313	693586	1177376
HG03456	hap2	1296797	413933	659921	1111246	1285842	1172834
HG03456	hap1	1295310	455249	681290	1109444	974306	1122283
NA18534	hap1	1370223	453435	627076	1109325	1003079	1188091
NA18534	hap2	632685	452270	639536	1110203	1352478	1186029
NA21487	hap2	1439401	420949	659328	1108693	1020978	1171811
NA21487	hap1	1330352	456404	681243	1112213	902869	1184973
HG01505	hap1	1257860	413797	659667	1110142	1211436	1173755
HG01505	hap2	1129822	404604	637962	1110417	530384	1177531
HG01596	hap1	1286187	452483	680070	1110487	615213	1185676
HG01596	hap2	1083473	452820	639579	1111563	1096058	1190158
NA19705	hap2	1421588	452504	659878	1112039	1158397	1168522
NA19705	hap1	1335821	445855	659605	1111265	916169	1158745
HG00731	hap1	405463	453152	639335	1109960	909794	1159240
HG00731	hap2	1207918	448318	639635	1112603	1116886	1183226
HG02953	hap1	1227779	449805	659318	1110225	1030240	1167215
HG02953	hap2	1387072	452647	639464	1102052	1013799	1174601
NA18989	hap2	1196031	442977	638047	1109795	1143563	1175366
NA18989	hap1	1364423	452535	639267	1111279		1176461
HG04217	hap2	1331651	452172	638129	1112299	1185532	1174131
HG04217	hap1	689390	452404	617893	1110533	220247	1177200
HG02018	hap1	1374481	415889	637989	1112793	620809	1184342
HG02018	hap2	1232222	415889	659600	1110724	613729	1180307
HG03009	hap1	1385599	453455	421277	1111927	996064	1084359
HG03009	hap2	979798	455754	658349	1110558	1098252	1159750
HG00514	hap2	525510	452419	637851	1110994	856788	1185679
HG00514	hap1	1416601	455126	639173	1110522	414458	1178880
HG03520	hap1	1331281	456318	659901	1100429	590228	1167722
HG03520	hap2	384548	452580	637867	1108878	33159	1188860
NA19347	hap2	1222965	447031	660166	1110944	371822	1114949
NA19347	hap1	712546	460605	658044	1112449	1142805	459313
HG00171	hap1	1221897	416500	658128	1109912		1170700
HG00171	hap2	1473117	417042	679969	1110546	327203	1159313
HG02106	hap2	1375501	444302	641131	1112291	1301169	1176634
HG02106	hap1	1408441	415922	639203	1112775	336216	1187479
NA19129	hap2	1084328	453555	659902	1112509	635247	1167322
NA19129	hap1	1484765	453784	639279	1112677	835556	1173418
NA19036	hap2	1190393	415861	659435	1112016	434921	389138
NA19036	hap1	1237337	455728	659468	1100592	588152	300135
NA19239	hap2	1457510	415846	659452	1113083	346580	1183355
NA19239	hap1	1387247	455471	659883	1131008	1265441	1173750
NA20355	hap1	1356210	416360	680429	1110079	1189955	1178093
NA20355	hap2	1356989	416544	659648	1112117	526166	1183348
HG03807	hap2	1369129	452639	658343	1112681	1216146	1168513
HG03807	hap1	1254141	452739	638081	1111475	257346	1179910
NA19384	hap2	1442881	443739	659804	1112326	1220093	1170270
NA19384	hap1	1292132	444087	680270	1112224	916849	1192780
HG01890	hap2	1294271	416323	681509	1111678	779772	1149089
HG01890	hap1	1350465	456902	681605	1113028	764392	1186426
HG01573	hap1	1069326	363486	638581	1112144	1339200	1180506
HG01573	hap2	1370756	453111	639331	1112753	814622	1184698
NA19238	hap1	1492832	456239	703773	1129332	146772	1177373
NA19238	hap2	1205046	420093	659832	1112815	1327002	1174241
HG00096	hap1	796905	413475	639460	1110031	1103717	1169121
HG00096	hap2	1306356	456110	659614	1113063	1069752	1174067
HG00268	hap1	1234523	444148	658335	1110267	977166	1179730
HG00268	hap2	1395833	412933	679933	1109782	90702	1174171
HG02282	hap2	1304977	443669	639299	1109723	331296	1173234
HG02282	hap1	1268751	416504	680026	1112333		1184400
NA20509	hap1	1382477	443822	637796	1111537	1141275	1179818
NA20509	hap2	1235596	444129	681210	1109692	1008209	1174196
HG02554	hap2	1197158	416420	637780	1110703	992840	1120928
HG02554	hap1	1251073	455990	658884	1111675	859648	382712
NA19836	hap1	1371264	452654	658436	1112624	1002574	1028362
NA19836	hap2	1382651	455792	659906	1109705	742415	627003
HG02059	hap1	1258145	452612	658470	1111806		1191027
HG02059	hap2	1419698	453359	659806	1109298	986903	1185174
HG01457	hap2	1052053	452485	638361	1111910	904338	676544
HG01457	hap1	1157084	452595	680280	1110167	700064	649478
